poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
7383,2.0,1.9,2.7,1
7383,1.5,2.1,2.8,2
7383,1.2,2.3,2.6,3
7383,1.3,2.0,2.6,4
7383,1.3,2.1,2.6,5
3477,1.1,2.3,2.7,1
3477,0.3,2.0,2.8,2
3477,0.7,1.6,2.9,3
3477,0.4,1.3,3.0,4
3477,0.6,1.7,2.7,5
11048,2.3,2.1,2.7,1
11048,1.5,1.9,2.8,2
11048,1.4,3.0,2.5,3
11048,1.5,1.5,2.7,4
11048,1.0,2.0,2.7,5
2114,2.5,1.1,2.5,1
2114,1.2,1.9,2.7,2
2114,0.7,1.5,3.0,3
2114,0.5,1.5,2.7,4
2114,0.8,1.7,2.4,5
7425,1.6,1.5,2.8,1
7425,1.6,1.0,2.8,2
7425,1.6,1.6,2.6,3
7425,1.2,1.6,2.9,4
7425,1.3,1.9,2.9,5
12440,2.1,1.2,2.4,1
12440,0.8,1.7,2.6,2
12440,0.7,1.7,2.6,3
12440,0.6,1.9,2.8,4
12440,0.8,1.1,2.6,5
1728,2.1,3.0,2.9,1
1728,1.4,2.7,3.0,2
1728,1.2,2.5,2.9,3
1728,1.0,1.6,3.0,4
1728,1.0,1.5,2.9,5
3877,1.5,0.8,2.5,1
3877,1.0,1.6,2.9,2
3877,1.0,2.4,2.8,3
3877,0.8,2.3,2.8,4
3877,1.0,2.2,2.5,5
9417,0.5,1.8,2.8,1
9417,0.7,3.0,2.7,2
9417,0.1,2.4,2.6,3
9417,0.1,2.0,2.6,4
9417,0.0,1.5,2.3,5
5147,1.7,2.4,2.8,1
5147,1.4,2.4,2.4,2
5147,1.3,2.8,2.8,3
5147,1.0,2.5,2.9,4
5147,1.6,1.7,2.9,5
10095,1.9,1.9,2.9,1
10095,1.1,1.6,2.8,2
10095,2.1,1.9,3.0,3
10095,2.4,1.2,2.8,4
10095,2.2,1.6,2.2,5
5617,2.9,3.0,2.8,1
5617,2.2,3.0,2.6,2
5617,1.7,2.8,2.7,3
5617,1.3,2.4,2.7,4
5617,1.3,2.4,2.7,5
14221,1.6,2.3,2.8,1
14221,1.4,1.5,3.0,2
14221,0.8,1.5,2.9,3
14221,1.4,2.5,2.7,4
14221,1.2,2.5,2.8,5
6954,1.6,2.2,2.6,1
6954,1.6,1.6,3.0,2
6954,1.9,1.1,2.9,3
6954,1.3,1.1,2.8,4
6954,1.4,1.1,2.9,5
4222,2.1,2.9,2.6,1
4222,1.2,2.2,2.9,2
4222,1.1,2.5,2.8,3
4222,1.3,2.2,2.5,4
4222,1.1,2.1,2.5,5
8333,1.1,3.0,2.8,1
8333,0.2,3.0,2.9,2
8333,0.8,2.5,2.6,3
8333,0.5,2.0,2.2,4
8333,0.8,2.5,2.7,5
3494,0.9,0.9,2.9,1
3494,1.0,1.9,2.6,2
3494,0.4,2.1,2.4,3
3494,1.1,1.8,2.7,4
3494,1.9,1.9,3.0,5
10027,1.9,1.5,2.5,1
10027,1.1,1.1,2.4,2
10027,0.8,1.7,2.8,3
10027,1.1,1.3,3.0,4
10027,1.0,1.2,2.5,5
5667,2.0,2.8,2.9,1
5667,1.9,2.8,2.9,2
5667,1.5,1.9,2.8,3
5667,1.5,1.9,2.8,4
5667,1.4,2.0,2.8,5
14077,0.1,2.9,2.8,1
14077,0.3,2.5,2.8,2
14077,0.3,2.8,2.8,3
14077,0.4,2.8,3.0,4
14077,0.3,2.6,2.7,5
11787,2.6,1.7,2.3,1
11787,2.2,2.8,2.8,2
11787,1.9,2.2,2.6,3
11787,1.9,2.9,2.7,4
11787,2.2,2.5,2.9,5
9170,2.5,2.6,2.6,1
9170,2.1,2.9,2.5,2
9170,0.8,2.9,2.8,3
9170,0.6,1.7,2.7,4
9170,1.1,1.3,2.5,5
7109,2.7,1.5,2.8,1
7109,1.0,1.3,3.0,2
7109,0.8,1.9,2.8,3
7109,0.7,1.8,2.7,4
7109,0.8,1.7,2.8,5
6019,1.5,1.0,2.9,1
6019,0.9,2.8,2.8,2
6019,1.2,1.8,3.0,3
6019,0.9,1.6,2.7,4
6019,1.0,1.4,2.6,5
4593,1.6,1.8,2.4,1
4593,1.3,1.8,2.8,2
4593,1.0,1.0,2.8,3
4593,0.7,1.6,2.5,4
4593,0.7,1.7,2.8,5
4764,2.2,2.9,2.7,1
4764,0.4,2.8,2.9,2
4764,0.8,1.8,2.9,3
4764,0.7,2.7,2.5,4
4764,0.4,3.0,2.8,5
5635,0.8,2.3,2.8,1
5635,0.8,2.2,2.8,2
5635,0.7,2.6,2.9,3
5635,0.7,2.6,2.5,4
5635,0.7,2.7,2.3,5
12921,2.0,2.4,2.9,1
12921,1.2,3.0,3.0,2
12921,0.4,2.1,3.0,3
12921,0.9,3.0,2.7,4
12921,0.6,2.1,3.0,5
3644,3.0,3.0,2.9,1
3644,1.7,2.7,2.8,2
3644,1.8,3.0,2.9,3
3644,1.4,2.8,2.8,4
3644,1.2,2.6,3.0,5
6416,2.5,2.6,3.0,1
6416,2.6,1.9,2.9,2
6416,1.6,2.1,3.0,3
6416,1.1,2.4,3.0,4
6416,1.8,2.3,2.9,5
13545,1.9,2.3,2.8,1
13545,0.7,2.4,2.7,2
13545,0.8,0.8,2.7,3
13545,0.6,0.7,2.9,4
13545,0.6,1.1,2.6,5
7595,2.1,2.2,3.0,1
7595,1.1,2.1,3.0,2
7595,0.6,2.4,3.0,3
7595,0.5,1.7,3.0,4
7595,0.4,2.5,2.8,5
4301,0.7,1.9,3.0,1
4301,0.9,0.8,2.6,2
4301,0.9,0.6,2.5,3
4301,0.6,0.6,2.4,4
4301,0.6,1.1,2.6,5
3845,1.9,1.9,2.8,1
3845,1.7,2.1,2.8,2
3845,1.2,2.1,2.7,3
3845,1.4,2.6,2.6,4
3845,1.5,1.6,2.7,5
11155,1.7,2.7,2.7,1
11155,1.4,2.4,2.9,2
11155,1.4,2.2,2.5,3
11155,1.3,2.2,2.9,4
11155,1.4,2.1,2.8,5
12921,2.0,2.4,3.0,1
12921,2.5,2.6,2.9,2
12921,2.1,2.3,2.9,3
12921,1.6,2.5,3.0,4
12921,0.8,3.0,3.0,5
1960,1.3,2.6,2.3,1
1960,0.9,2.7,2.5,2
1960,0.7,2.4,2.5,3
1960,0.7,2.7,2.9,4
1960,0.6,2.4,2.9,5
8468,2.9,2.8,2.7,1
8468,1.5,2.5,2.9,2
8468,1.3,2.3,2.6,3
8468,2.0,2.8,2.7,4
8468,1.7,2.2,2.7,5
6541,1.7,1.7,2.7,1
6541,1.8,1.9,2.7,2
6541,1.4,2.0,2.8,3
6541,1.4,1.9,3.0,4
6541,1.4,1.7,2.8,5
7042,2.9,3.0,3.0,1
7042,2.6,2.7,2.8,2
7042,1.2,2.5,2.8,3
7042,1.0,2.6,2.8,4
7042,0.7,2.9,2.9,5
7458,2.4,3.0,2.7,1
7458,0.1,1.3,2.3,2
