poster_number,distance,n_components
8783,2.9,75
1515,2.8,75
4713,2.6,75
11736,1.0,75
7024,1.4,75
4890,1.8,75
1478,0.9,75
5394,1.9,75
10897,2.5,75
11236,2.3,75
8851,1.6,75
13671,2.1,75
4199,2.2,75
9598,1.4,75
3853,2.6,75
13217,0.5,75
12464,1.0,75
12059,1.2,75
6525,1.0,75
8486,1.2,75
4054,2.4,75
8666,1.3,75
4657,1.3,75
5446,1.5,75
9042,2.1,75
11827,1.2,75
978,1.6,75
8442,2.2,75
4022,2.6,75
2230,1.4,75
8865,0.5,75
6201,1.8,75
7224,1.4,75
4136,1.8,75
12292,2.7,75
5275,1.9,75
5954,2.4,75
3648,2.6,75
813,2.0,75
12166,2.3,75
3703,1.9,75
3451,2.4,75
5311,1.5,75
6991,1.7,75
14216,1.3,75
13868,2.6,75
1629,1.5,75
9905,1.6,75
740,1.7,75
4808,1.3,75
3041,2.4,75
9569,1.1,75
11105,2.6,75
12406,3.0,75
12332,2.1,75
3682,1.7,75
5908,1.5,75
4542,2.7,75
6494,0.8,75
12067,1.6,75
5988,1.8,75
12392,1.1,75
5480,1.7,75
12752,1.7,75
14477,1.9,75
13006,0.9,75
4801,3.0,75
11845,2.8,75
1080,1.5,75
4024,2.1,75
7305,1.7,75
2499,2.4,75
3588,1.9,75
4121,2.5,75
11233,2.3,75
14296,2.6,75
12753,2.2,75
5101,1.3,75
4757,2.4,75
6370,1.7,75
2391,0.3,75
2029,2.8,75
12980,2.7,75
3839,2.4,75
12233,2.7,75
6615,2.0,75
9595,2.0,75
11314,1.3,75
2069,0.9,75
5992,1.9,75
10788,2.9,75
14307,2.3,75
9786,1.3,75
10933,2.2,75
12921,1.8,75
4778,1.1,75
11960,2.0,75
4064,2.1,75
10321,1.0,75
9372,2.1,75
9418,1.2,75
9350,3.0,75
5920,0.9,75
3189,1.3,75
9081,0.7,75
14124,0.8,75
5287,1.9,75
14400,2.0,75
11397,2.3,75
3621,0.6,75
1568,1.6,75
7105,1.5,75
